req_id,req_time,site_manager,device,backbone,task,latency
4190,65.19213701167972,site2,http://10.100.20.53:8001,chronostiny,heartrate,9.606599807739258
4191,65.21403280633919,site2,http://10.100.20.53:8001,chronostiny,heartrate,10.527372360229492
4192,65.2168575488288,site2,http://10.100.20.53:8001,chronostiny,diasbp,24.97100830078125
4193,65.2168575488288,site2,http://10.100.20.53:8001,chronostiny,diasbp,28.563737869262695
4194,65.22040805394137,site2,http://10.100.20.53:8001,chronostiny,ecgclass,33.704519271850586
4195,65.22677676942388,site2,http://10.100.20.53:8001,chronostiny,heartrate,35.83359718322754
4196,65.23806286316261,site2,http://10.100.20.53:8001,chronostiny,sysbp,23.9260196685791
4197,65.25581055465071,site2,http://10.100.20.53:8001,chronostiny,heartrate,23.618459701538086
4198,65.25894934792744,site2,http://10.100.20.53:8001,chronostiny,sysbp,21.497488021850586
4199,65.27839224993747,site2,http://10.100.20.53:8001,chronostiny,heartrate,18.7225341796875
4200,65.27839224993747,site2,http://10.100.20.53:8001,chronostiny,diasbp,18.678903579711914
4201,65.2844013059195,site2,http://10.100.20.53:8001,chronostiny,diasbp,30.76314926147461
4202,65.28642078855775,site2,http://10.100.20.53:8001,chronostiny,diasbp,29.208898544311523
4203,65.31540741638179,site2,http://10.100.20.53:8001,chronostiny,sysbp,10.09511947631836
4204,65.32184061237929,site2,http://10.100.20.53:8001,chronostiny,diasbp,12.660503387451172
4205,65.3445923309422,site2,http://10.100.20.53:8001,chronostiny,sysbp,18.582820892333984
4206,65.34593964644374,site2,http://10.100.20.53:8001,chronostiny,heartrate,18.041372299194336
4207,65.36587228075024,site2,http://10.100.20.53:8001,chronostiny,heartrate,9.43613052368164
4208,65.37111508709144,site2,http://10.100.20.53:8001,chronostiny,diasbp,25.837421417236328
4209,65.37304255582394,site2,http://10.100.20.53:8001,chronostiny,diasbp,23.688554763793945
4210,65.37748060010821,site2,http://10.100.20.53:8001,chronostiny,diasbp,12.400627136230469
4211,65.39499238293268,site2,http://10.100.20.53:8001,chronostiny,heartrate,27.453899383544922
4212,65.39499238293268,site2,http://10.100.20.53:8001,chronostiny,ecgclass,26.643037796020508
4213,65.39969586594806,site2,http://10.100.20.53:8001,chronostiny,ecgclass,24.930238723754883
4214,65.41253923788075,site2,http://10.100.20.53:8001,chronostiny,heartrate,30.071496963500977
4215,65.41302832856583,site2,http://10.100.20.53:8001,chronostiny,sysbp,37.1403694152832
4216,65.41302832856583,site2,http://10.100.20.53:8001,chronostiny,sysbp,36.87882423400879
4217,65.43916910204338,site2,http://10.100.20.53:8001,chronostiny,heartrate,22.61495590209961
4218,65.44182453476354,site2,http://10.100.20.53:8001,chronostiny,ecgclass,25.182723999023438
4219,65.44182453476354,site2,http://10.100.20.53:8001,chronostiny,ecgclass,28.20563316345215
4220,65.4517400108562,site2,http://10.100.20.53:8001,chronostiny,ecgclass,19.11616325378418
4221,65.46831845773643,site2,http://10.100.20.53:8001,chronostiny,heartrate,10.699748992919922
4222,65.47532764766676,site2,http://10.100.20.53:8001,chronostiny,sysbp,20.272254943847656
