task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
ecgclass,2,1,4.9742,4.9994,25.1367,25.1367,22.5935,21.5929,0.0019,1.5032,2.5432,1775531106539841905,0
ecgclass,2,1,4.9994,5.0244,25.018,25.018,22.5022,21.5001,0.0019,1.4935,2.5158,1775531106564984404,0
ecgclass,2,1,5.0244,5.0495,25.0745,25.0745,22.5212,21.5201,0.002,1.5175,2.5533,1775531106590042684,0
ecgclass,2,1,5.0495,5.078,28.4331,28.4331,25.6877,24.4568,0.0079,1.5023,2.7454,1775531106615117786,0
ecgclass,2,1,5.078,5.1035,25.5482,25.5482,22.9176,21.8933,0.002,1.6603,2.6307,1775531106643724585,0
ecgclass,2,1,5.1035,5.1287,25.1529,25.1529,22.5872,21.5843,0.0019,1.5409,2.5657,1775531106669169174,0
ecgclass,2,1,5.1287,5.1546,25.8942,25.8942,23.376,21.5041,0.0019,1.487,2.5182,1775531106694284551,0
ecgclass,2,1,5.1546,5.1797,25.038,25.038,22.4963,21.488,0.0019,1.5333,2.5417,1775531106720240363,0
ecgclass,2,1,5.1797,5.2048,25.1281,25.1281,22.5511,21.5511,0.002,1.5502,2.577,1775531106745311499,0
ecgclass,2,1,5.2048,5.2304,25.6245,25.6245,23.0468,21.505,0.002,1.5752,2.5778,1775531106770480386,0
ecgclass,2,1,5.2305,5.2555,25.0807,25.0807,22.5388,21.5449,0.0019,1.5237,2.5419,1775531106796069439,0
ecgclass,2,1,5.2555,5.2806,25.0545,25.0545,22.5075,21.5117,0.0019,1.5216,2.5469,1775531106821163413,0
ecgclass,2,1,5.2806,5.3057,25.1288,25.1288,22.5119,21.5188,0.0019,1.5607,2.6169,1775531106846273285,0
ecgclass,2,1,5.3058,5.3309,25.1009,25.1009,22.5392,21.5412,0.0021,1.5347,2.5617,1775531106871391738,0
ecgclass,2,1,5.3309,5.356,25.0745,25.0745,22.5517,21.5603,0.002,1.524,2.5228,1775531106896497546,0
ecgclass,2,1,5.356,5.3811,25.1164,25.1164,22.5267,21.5203,0.002,1.5297,2.5897,1775531106921593233,0
ecgclass,2,1,5.3811,5.4061,25.0394,25.0394,22.5558,21.5466,0.0019,1.5152,2.4836,1775531106946711462,0
ecgclass,2,1,5.4062,5.4313,25.1055,25.1055,22.568,21.5736,0.0019,1.513,2.5374,1775531106971764848,0
ecgclass,2,1,5.4313,5.4564,25.1129,25.1129,22.5796,21.5573,0.0019,1.5199,2.5332,1775531106996892879,0
ecgclass,2,1,5.4564,5.4815,25.1362,25.1362,22.5609,21.5575,0.0019,1.5433,2.5754,1775531107022045168,0
ecgclass,2,1,5.4816,5.5072,25.6164,25.6164,23.0648,21.5012,0.002,1.5242,2.5516,1775531107047177620,0
ecgclass,2,1,5.5072,5.5323,25.089,25.089,22.553,21.543,0.0019,1.5328,2.536,1775531107072818315,0
ecgclass,2,1,5.5323,5.5574,25.1143,25.1143,22.5703,21.5591,0.0019,1.5051,2.544,1775531107097895935,0
ecgclass,2,1,5.5574,5.5826,25.2204,25.2204,22.6787,21.6675,0.002,1.5359,2.5417,1775531107123056971,0
ecgclass,2,1,5.5827,5.6078,25.1389,25.1389,22.5669,21.5721,0.0019,1.5299,2.5719,1775531107148288427,0
ecgclass,2,1,5.6078,5.6329,25.0845,25.0845,22.5223,21.5312,0.002,1.5171,2.5622,1775531107173430138,0
ecgclass,2,1,5.6329,5.6588,25.9154,25.9154,23.3894,22.3862,0.0019,1.5008,2.526,1775531107198514499,0
ecgclass,2,1,5.6589,5.6842,25.3699,25.3699,22.7973,21.788,0.002,1.5543,2.5726,1775531107224499186,0
ecgclass,2,1,5.6842,5.7093,25.0833,25.0833,22.5663,21.5664,0.0019,1.4997,2.517,1775531107249830313,0
ecgclass,2,1,5.7093,5.7344,25.0559,25.0559,22.5433,21.5282,0.002,1.5233,2.5126,1775531107274953356,0
ecgclass,2,1,5.7344,5.7599,25.4939,25.4939,23.0624,21.5144,0.0019,1.4958,2.4314,1775531107299997536,0
