run_idx,req_idx,latency_ms,backbone_ms,decoder_ms,swap_ms,gpu_peak_mb
0,68,29.3077,28.8027,0.2746,0.0034,339.95
0,69,29.3747,28.859,0.2919,0.0021,339.95
0,70,30.0871,29.2409,0.2878,0.0026,339.95
0,71,28.902,28.4143,0.2742,0.0026,339.95
0,72,29.4404,28.9178,0.2964,0.0025,339.95
0,73,28.8257,28.3235,0.268,0.0022,339.95
0,74,29.4731,28.9801,0.274,0.0028,339.95
0,75,29.3563,28.8155,0.2987,0.0025,339.95
0,76,29.6177,29.124,0.2693,0.0033,339.95
0,77,29.8225,29.299,0.2913,0.0026,339.95
0,78,29.2629,28.724,0.3,0.0025,339.95
0,79,29.7185,29.1997,0.2872,0.0029,339.95
0,80,29.1764,28.294,0.6466,0.0025,339.95
0,81,29.0157,28.5215,0.2729,0.0022,339.95
0,82,29.113,28.6233,0.2717,0.003,339.95
0,83,29.1617,28.6272,0.2956,0.0022,339.95
0,84,29.5514,29.0444,0.2731,0.0031,339.95
0,85,29.1111,28.6006,0.2849,0.0024,339.95
0,86,29.6414,29.0975,0.2908,0.0028,339.95
0,87,28.809,28.3082,0.2702,0.0027,339.95
0,88,29.3601,28.8216,0.2983,0.0026,339.95
0,89,29.2566,28.7491,0.2803,0.0022,339.95
0,90,29.486,28.9755,0.283,0.0026,339.95
0,91,30.2276,29.3333,0.3022,0.0024,339.95
0,92,29.2848,28.7855,0.2703,0.0028,339.95
0,93,29.6093,29.1072,0.2844,0.0026,339.95
0,94,29.0232,28.4955,0.2879,0.0028,339.95
0,95,29.427,28.9103,0.2826,0.0029,339.95
0,96,29.1855,28.6496,0.302,0.0026,339.95
0,97,29.1907,28.6741,0.2927,0.0024,339.95
0,98,29.6243,29.1159,0.2771,0.0026,339.95
0,99,29.2199,28.68,0.2981,0.0023,339.95
0,100,29.6115,29.0964,0.2827,0.0024,339.95
0,101,29.1885,28.3514,0.6179,0.0022,339.95
0,102,29.3589,28.8423,0.2862,0.0024,339.95
0,103,28.9759,28.4743,0.2699,0.0027,339.95
0,104,29.2053,28.676,0.2906,0.0024,339.95
0,105,29.8517,29.3331,0.2839,0.0025,339.95
0,106,29.3525,28.8507,0.2797,0.003,339.95
0,107,29.6512,29.1055,0.3047,0.0021,339.95
0,108,29.0686,28.5618,0.2717,0.0023,339.95
0,109,29.5685,29.0603,0.2843,0.0026,339.95
0,110,29.1595,28.6049,0.3084,0.0026,339.95
0,111,29.2783,28.7489,0.2806,0.0031,339.95
0,112,30.069,29.1829,0.2919,0.0026,339.95
0,113,28.8363,28.3334,0.2737,0.0023,339.95
0,114,29.3487,28.8499,0.2755,0.0026,339.95
0,115,28.9267,28.3923,0.296,0.0022,339.95
0,116,29.3236,28.5792,0.3801,0.0059,339.95
0,117,29.6206,29.1022,0.2916,0.0021,339.95
0,118,29.2341,28.6925,0.3018,0.0026,339.95
0,119,29.6119,29.1009,0.2783,0.0035,339.95
0,120,28.9223,28.3807,0.3077,0.0025,339.95
0,121,29.3796,28.8471,0.2992,0.0025,339.95
0,122,29.6096,28.7443,0.6512,0.0029,339.95
0,123,29.4083,28.8813,0.2902,0.0021,339.95
0,124,29.8758,29.3757,0.2719,0.0028,339.95
0,125,29.2634,28.751,0.2862,0.0023,339.95
0,126,29.602,29.0763,0.2914,0.0024,339.95
0,127,29.0224,28.5165,0.2758,0.0027,339.95
0,128,29.4688,28.9354,0.294,0.0028,339.95
0,129,29.1768,28.6669,0.2793,0.0024,339.95
0,130,29.1851,28.6792,0.2771,0.0026,339.95
0,131,29.934,29.3798,0.3088,0.0021,339.95
0,132,29.4097,28.8776,0.2798,0.0029,339.95
0,133,30.0235,29.146,0.2858,0.0023,339.95
0,134,29.0425,28.5196,0.2869,0.0024,339.95
0,135,29.3824,28.8785,0.2749,0.0032,339.95
0,136,29.158,28.6215,0.298,0.0025,339.95
0,137,29.3757,28.8536,0.2853,0.0024,339.95
0,138,29.9882,29.4851,0.2769,0.0031,339.95
0,139,29.5589,28.9395,0.375,0.0024,339.95
0,140,29.9322,29.4196,0.2725,0.0027,339.95
0,141,29.2084,28.6817,0.292,0.0024,339.95
0,142,29.4989,28.9496,0.3091,0.0029,339.95
0,143,29.6242,28.7439,0.6395,0.0027,339.95
0,144,29.1101,28.5881,0.2942,0.0027,339.95
0,145,29.5753,29.0669,0.2811,0.0026,339.95
0,146,28.8922,28.3908,0.2702,0.0025,339.95
0,147,29.5621,28.9955,0.3093,0.0021,339.95
0,148,28.9685,28.4559,0.2726,0.0025,339.95
0,149,29.4836,28.9716,0.2828,0.0023,339.95
0,150,29.2151,28.673,0.2956,0.0021,339.95
0,151,29.1885,28.6819,0.2776,0.0028,339.95
0,152,29.8251,29.2885,0.2953,0.0026,339.95
0,153,29.509,28.9716,0.2876,0.002,339.95
0,154,30.1793,29.3014,0.2721,0.0026,339.95
0,155,29.2316,28.6952,0.3012,0.0023,339.95
0,156,29.4449,28.9442,0.2719,0.0028,339.95
0,157,29.2046,28.7048,0.2825,0.0029,339.95
0,158,29.2869,28.7429,0.3018,0.0024,339.95
0,159,29.6806,29.1741,0.2761,0.0025,339.95
0,160,29.1348,28.6038,0.2978,0.0026,339.95
0,161,29.5327,29.0088,0.2916,0.0019,339.95
0,162,28.9357,28.4198,0.2923,0.0029,339.95
0,163,29.7043,29.1307,0.3238,0.0026,339.95
0,164,29.7002,28.8239,0.6385,0.0028,339.95
0,165,29.2533,28.7493,0.2833,0.0028,339.95
0,166,29.7488,29.2239,0.2921,0.0023,339.95
0,167,29.2296,28.7238,0.2762,0.0033,339.95
0,168,29.6424,29.1104,0.3006,0.0023,339.95
0,169,29.0285,28.5133,0.2818,0.0021,339.95
0,170,29.5867,29.0724,0.2881,0.0032,339.95
0,171,29.4249,28.8688,0.3034,0.0024,339.95
0,172,29.4601,28.9522,0.2759,0.0026,339.95
0,173,29.7149,29.1977,0.2871,0.0026,339.95
0,174,29.2582,28.7154,0.2919,0.0021,339.95
0,175,29.8683,29.3769,0.2683,0.0028,339.95
0,176,29.5467,28.7459,0.4626,0.0083,339.95
0,177,29.6267,29.0915,0.2938,0.0024,339.95
0,178,29.6459,29.1433,0.274,0.0028,339.95
0,179,29.418,28.8643,0.3087,0.0024,339.95
0,180,29.6901,29.1773,0.2749,0.0025,339.95
0,181,29.0907,28.5639,0.2936,0.0025,339.95
0,182,29.469,28.9194,0.299,0.0022,339.95
0,183,28.8575,28.334,0.2847,0.0028,339.95
0,184,29.2841,28.7636,0.2884,0.0025,339.95
0,185,29.5741,28.7028,0.2789,0.0024,339.95
0,186,28.862,28.3774,0.2687,0.0028,339.95
0,187,29.5101,28.9715,0.2972,0.0027,339.95
0,188,28.9405,28.4344,0.275,0.0028,339.95
