batch_start_ns,observed_batch_size,send_time_rel_first
1775274806682660687,8,36.324086
1775274806734608407,7,36.371191
1775274806771652704,5,36.408796
1775274806822579148,4,36.437632
1775274806871157223,6,36.455878
1775274806927531763,7,36.483855
1775274806976456297,6,36.520436
1775274807024417747,6,36.536571
1775274807073450194,6,36.554553
1775274807128620814,7,36.573397
1775274807173372435,4,36.591121
1775274807224371007,6,36.601147
1775274807268530589,6,36.61991
1775274807312129115,5,36.65685
1775274807365895368,7,36.676168
1775274807403394335,5,36.720167
1775274807437005659,4,36.744193
1775274807487750894,6,36.759569
1775274807539432846,6,36.799273
1775274807580323302,6,36.822269
1775274807631171320,6,36.87423
1775274807681262046,7,36.903894
1775274807737991286,8,36.912161
1775274807790751540,7,36.941899
1775274807827339120,5,36.979802
1775274807877532049,5,36.989048
1775274807928683126,6,37.044119
1775274807969288904,6,37.073012
1775274808012811657,3,37.098903
1775274808055798585,6,37.101791
1775274808109667371,8,37.140589
1775274808162212999,5,37.199372
1775274808209311317,6,37.21876
1775274808257610341,6,37.256387
1775274808308505090,6,37.304256
1775274808346253224,5,37.318754
1775274808387514251,5,37.369071
1775274808438061481,6,37.400254
1775274808484328495,6,37.461541
1775274808519267347,5,37.479169
1775274808563756599,4,37.509556
1775274808606675504,7,37.518424
1775274808649213309,5,37.535926
1775274808686472809,5,37.546187
1775274808728301433,5,37.566844
1775274808778433950,6,37.590518
1775274808831780541,7,37.622515
1775274808873646996,5,37.653424
1775274808914185073,6,37.673947
1775274808962642020,4,37.715984
1775274809003452254,6,37.750931
1775274809047119362,5,37.76563
1775274809100809253,7,37.78416
1775274809143552724,5,37.825821
1775274809189174699,4,37.86313
1775274809223879594,5,37.878509
1775274809264999628,4,37.899681
1775274809308337156,6,37.906637
1775274809355542547,6,37.929988
1775274809399208795,7,37.952395
1775274809447707644,6,37.982432
1775274809501771286,7,38.031002
