task,tpc_count,concurrency,send_elapsed_sec,complete_elapsed_sec,latency_ms,total_response_time_ms,server_exec_ms,server_proc_ms,server_swap_ms,server_decoder_ms,queue_wait_plus_rpc_ms,non_server_exec_overhead_ms,server_start_ns,worker_id
nyudepth,2,1,15.2168,15.3113,94.5184,94.5184,82.8516,81.728,0.0042,0.7285,5.1188,11.6668,1775532005141872410,0
nyudepth,2,1,15.3113,15.4062,94.8486,94.8486,83.1508,81.9785,0.0037,0.7927,5.0089,11.6978,1775532005236294609,0
nyudepth,2,1,15.4062,15.5007,94.5272,94.5272,83.3001,82.1584,0.0049,0.7417,4.6163,11.2271,1775532005330764595,0
nyudepth,2,1,15.5007,15.5952,94.4896,94.4896,83.2142,82.1018,0.0051,0.728,4.6618,11.2754,1775532005425349336,0
nyudepth,2,1,15.5952,15.6897,94.4676,94.4676,82.1135,81.0385,0.0041,0.6868,5.8351,12.3541,1775532005521024873,0
nyudepth,2,1,15.6897,15.7844,94.7063,94.7063,82.36,81.2722,0.0042,0.7257,5.7378,12.3463,1775532005615408319,0
nyudepth,2,1,15.7844,15.8788,94.4035,94.4035,81.6195,80.5525,0.0043,0.7011,6.1674,12.784,1775532005710556448,0
nyudepth,2,1,15.8789,15.9742,95.3734,95.3734,82.6486,81.5419,0.0041,0.7399,5.9826,12.7248,1775532005804787893,0
nyudepth,2,1,15.9742,16.0683,94.1007,94.1007,82.6294,81.4985,0.0043,0.7553,4.7863,11.4713,1775532005898978573,0
nyudepth,2,1,16.0684,16.1628,94.3909,94.3909,82.9604,81.8398,0.004,0.703,4.8246,11.4304,1775532005993130340,0
nyudepth,2,1,16.1628,16.2575,94.7392,94.7392,83.4892,82.3634,0.0039,0.7555,4.5896,11.25,1775532006087298677,0
nyudepth,2,1,16.2575,16.3521,94.6267,94.6267,82.2392,81.1183,0.0049,0.7405,5.7569,12.3875,1775532006183218805,0
nyudepth,2,1,16.3522,16.4468,94.6162,94.6162,82.1249,80.9956,0.0043,0.7293,5.8587,12.4912,1775532006277987352,0
nyudepth,2,1,16.4468,16.5411,94.2807,94.2807,82.7496,81.6689,0.0037,0.6971,4.9496,11.5311,1775532006371708518,0
nyudepth,2,1,16.5411,16.6359,94.7931,94.7931,82.0842,80.9795,0.0037,0.7122,6.0375,12.7089,1775532006467090758,0
nyudepth,2,1,16.6359,16.7306,94.6968,94.6968,81.9846,80.8507,0.0044,0.7398,6.022,12.7122,1775532006561885161,0
nyudepth,2,1,16.7306,16.8251,94.4979,94.4979,81.7828,80.661,0.0037,0.7267,6.1083,12.7151,1775532006656680875,0
nyudepth,2,1,16.8251,16.9203,95.1934,95.1934,82.6649,81.0513,0.0042,0.7564,5.8639,12.5285,1775532006750947061,0
nyudepth,2,1,16.9203,17.0145,94.1992,94.1992,81.0596,79.9214,0.0036,0.7485,6.2916,13.1396,1775532006846581132,0
nyudepth,2,1,17.0146,17.1091,94.574,94.574,82.0553,80.9164,0.0041,0.7565,5.8143,12.5187,1775532006940317225,0
nyudepth,2,1,17.1091,17.2037,94.5253,94.5253,81.8253,80.6601,0.0039,0.7684,6.0155,12.7,1775532007035104741,0
nyudepth,2,1,17.2037,17.2982,94.4827,94.4827,81.6949,80.5778,0.0038,0.7308,6.1262,12.7877,1775532007129754263,0
nyudepth,2,1,17.2982,17.3927,94.5399,94.5399,81.764,80.6341,0.0036,0.7212,6.1421,12.7759,1775532007224265624,0
nyudepth,2,1,17.3927,17.4873,94.5985,94.5985,83.2933,82.1341,0.0045,0.7487,4.7386,11.3053,1775532007317415139,0
nyudepth,2,1,17.4873,17.582,94.7075,94.7075,82.6831,81.5923,0.0046,0.7235,5.4042,12.0244,1775532007412692007,0
nyudepth,2,1,17.5821,17.6765,94.4579,94.4579,82.6726,81.5729,0.0039,0.717,5.1155,11.7853,1775532007507123464,0
nyudepth,2,1,17.6765,17.771,94.4841,94.4841,81.8001,80.7038,0.0038,0.7287,6.1469,12.684,1775532007602625067,0
nyudepth,2,1,17.771,17.8665,95.4506,95.4506,84.0982,82.5018,0.0039,1.2183,4.6682,11.3524,1775532007695642813,0
nyudepth,2,1,17.8665,17.9603,93.8234,93.8234,82.4713,81.3146,0.0047,0.753,4.7259,11.3521,1775532007791165183,0
nyudepth,2,1,17.9603,18.055,94.6736,94.6736,82.1939,81.0199,0.0038,0.7652,5.8231,12.4798,1775532007886098838,0
nyudepth,2,1,18.055,18.1497,94.6982,94.6982,81.9023,80.726,0.0039,0.7511,6.0844,12.7959,1775532007981046750,0
nyudepth,2,1,18.1497,18.2442,94.5072,94.5072,80.0586,78.9061,0.0042,0.7547,7.7209,14.4486,1775532008077394202,0
nyudepth,2,1,18.2442,18.3389,94.66,94.66,82.1632,81.0029,0.0048,0.7544,5.9562,12.4968,1775532008170149018,0
