task,send_elapsed_s,latency_ms,server_exec_ms,worker_id
ecgclass__app2,7.6751,68.605,42.963,0
ecgclass__app3,7.7012,66.494,26.785,0
ecgclass__app1,7.7431,66.324,42.217,0
ecgclass__app2,7.7437,66.176,42.528,0
ecgclass,7.7436,66.391,42.610,0
ecgclass__app3,7.7677,68.164,28.117,0
ecgclass__app2,7.8099,68.268,43.151,0
ecgclass__app1,7.8094,69.141,43.608,0
ecgclass,7.8100,68.869,43.685,0
ecgclass__app3,7.8359,68.164,27.292,0
ecgclass,7.8789,66.547,42.040,0
ecgclass__app2,7.8782,67.636,42.328,0
ecgclass__app1,7.8786,67.514,42.850,0
ecgclass__app3,7.9041,66.283,26.454,0
ecgclass,7.9454,66.578,42.378,0
ecgclass__app1,7.9461,66.345,42.703,0
ecgclass__app2,7.9458,66.913,43.235,0
ecgclass__app3,7.9704,68.273,27.700,0
ecgclass__app1,8.0124,68.653,43.312,0
ecgclass__app2,8.0127,68.798,43.628,0
ecgclass,8.0120,69.601,43.821,0
ecgclass__app3,8.0387,67.678,26.885,0
ecgclass__app2,8.0815,67.051,42.604,0
ecgclass__app1,8.0811,67.655,42.682,0
ecgclass,8.0816,67.495,42.822,0
ecgclass__app3,8.1064,67.401,26.957,0
ecgclass__app1,8.1488,66.985,42.843,0
ecgclass,8.1491,67.103,43.384,0
ecgclass__app2,8.1486,67.747,43.420,0
ecgclass__app3,8.1738,68.603,27.946,0
ecgclass__app1,8.2158,69.604,43.812,0
ecgclass,8.2162,69.592,44.136,0
ecgclass__app2,8.2164,69.729,44.558,0
ecgclass__app3,8.2424,68.458,27.088,0
ecgclass__app1,8.2854,66.901,42.171,0
ecgclass__app2,8.2861,66.395,42.214,0
ecgclass,8.2859,67.093,42.596,0
ecgclass__app3,8.3109,67.102,27.365,0
ecgclass,8.3530,66.768,43.108,0
ecgclass__app2,8.3525,67.600,43.469,0
ecgclass__app1,8.3523,68.048,43.887,0
ecgclass__app3,8.3780,67.880,27.841,0
ecgclass__app1,8.4204,67.731,43.100,0
ecgclass__app2,8.4201,68.482,43.443,0
ecgclass,8.4197,69.111,43.855,0
ecgclass__app3,8.4459,67.681,26.785,0
ecgclass,8.4889,65.926,42.022,0
ecgclass__app1,8.4882,67.069,42.462,0
ecgclass__app2,8.4886,67.134,43.180,0
ecgclass__app3,8.5136,66.708,26.581,0
ecgclass__app1,8.5552,67.110,42.543,0
ecgclass,8.5548,68.026,43.005,0
ecgclass__app2,8.5558,67.196,43.133,0
ecgclass__app3,8.5804,68.284,27.703,0
ecgclass__app1,8.6224,68.272,42.640,0
ecgclass__app2,8.6230,68.022,43.088,0
ecgclass,8.6229,68.510,43.453,0
ecgclass__app3,8.6487,67.479,26.868,0
ecgclass__app1,8.6907,66.473,41.615,0
ecgclass__app2,8.6910,66.538,41.976,0
ecgclass,8.6914,66.458,42.511,0
ecgclass__app3,8.7162,66.128,26.807,0
ecgclass,8.7578,66.758,42.992,0
ecgclass__app1,8.7571,67.879,43.527,0
ecgclass__app2,8.7576,67.816,43.742,0
ecgclass__app3,8.7823,68.457,27.469,0
ecgclass,8.8246,68.364,42.855,0
ecgclass__app1,8.8250,68.469,43.492,0
ecgclass__app2,8.8254,68.455,43.682,0
ecgclass__app3,8.8508,68.228,27.500,0
ecgclass__app2,8.8939,66.114,41.612,0
ecgclass__app1,8.8935,67.044,42.089,0
ecgclass,8.8930,67.709,42.186,0
ecgclass__app3,8.9190,65.902,26.331,0
ecgclass__app1,8.9606,66.907,43.110,0
ecgclass__app2,8.9600,67.984,43.517,0
ecgclass,8.9607,67.373,43.620,0
ecgclass__app3,8.9849,68.607,27.817,0
ecgclass,9.0281,68.533,43.559,0
ecgclass__app1,9.0275,69.262,43.635,0
ecgclass__app2,9.0280,69.156,44.295,0
ecgclass__app3,9.0535,68.472,26.949,0
ecgclass__app1,9.0968,65.741,41.197,0
ecgclass__app2,9.0972,65.774,41.530,0
ecgclass,9.0967,66.359,41.616,0
ecgclass__app3,9.1220,65.176,26.200,0
ecgclass__app1,9.1625,66.195,42.187,0
ecgclass,9.1630,66.068,42.592,0
ecgclass__app2,9.1629,66.440,42.945,0
ecgclass__app3,9.1872,67.735,27.638,0
ecgclass,9.2291,68.251,42.857,0
ecgclass__app1,9.2288,68.727,42.945,0
ecgclass__app2,9.2294,68.142,42.976,0
ecgclass__app3,9.2550,67.784,26.939,0
ecgclass__app2,9.2975,66.756,42.181,0
ecgclass,9.2974,67.313,42.488,0
ecgclass__app1,9.2975,67.274,42.599,0
ecgclass__app3,9.3228,67.328,27.081,0
ecgclass,9.3647,67.623,42.714,0
ecgclass__app1,9.3648,67.878,43.144,0
ecgclass__app2,9.3643,68.563,43.223,0
ecgclass__app3,9.3901,68.458,27.759,0
ecgclass,9.4323,68.905,43.305,0
ecgclass__app2,9.4329,69.049,43.984,0
ecgclass__app1,9.4327,69.378,44.036,0
ecgclass__app3,9.4586,68.432,27.129,0
ecgclass,9.5013,66.872,41.788,0
ecgclass__app1,9.5021,66.499,42.131,0
ecgclass__app2,9.5020,66.797,42.340,0
ecgclass__app3,9.5270,66.253,26.439,0
ecgclass,9.5682,66.624,42.161,0
ecgclass__app2,9.5688,66.346,42.615,0
ecgclass__app1,9.5686,66.885,43.044,0
ecgclass__app3,9.5933,68.200,28.100,0
ecgclass,9.6348,70.189,43.941,0
ecgclass__app1,9.6355,69.674,44.048,0
ecgclass__app2,9.6351,70.376,44.657,0
ecgclass__app3,9.6615,68.630,26.841,0
ecgclass__app1,9.7051,66.740,42.103,0
ecgclass,9.7050,67.014,42.224,0
ecgclass__app2,9.7055,66.740,42.335,0
ecgclass__app3,9.7302,66.263,26.297,0
ecgclass,9.7720,66.595,42.827,0
ecgclass__app1,9.7719,67.195,43.138,0
ecgclass__app2,9.7723,66.908,43.278,0
ecgclass__app3,9.7965,68.303,27.646,0
ecgclass__app2,9.8392,67.755,42.862,0
ecgclass,9.8386,68.988,43.507,0
ecgclass__app1,9.8391,68.744,43.612,0
ecgclass__app3,9.8648,67.884,27.143,0
ecgclass__app2,9.9070,67.284,42.236,0
ecgclass__app1,9.9079,66.930,42.943,0
ecgclass,9.9076,67.531,43.290,0
ecgclass__app3,9.9327,66.770,26.361,0
ecgclass__app2,9.9743,66.778,42.246,0
ecgclass,9.9752,66.293,42.583,0
ecgclass__app1,9.9748,66.767,42.634,0
ecgclass__app3,9.9995,67.861,27.625,0
