req_id,req_time,site_manager,device,backbone,task,end_to_end_latency(ms),proc_time(ms),swap_time(ms),pred,true
6763,68.32713219742716,site2,site2,chronostiny,ecgclass,6.188154220581055,3.919363021850586,0.0011920928955078125,0.0,0.0
6764,68.3486885710792,site2,site2,chronostiny,gestureclass,6.310224533081055,3.9141178131103516,0.00286102294921875,4.0,4.0
6765,68.36418653144268,site2,site2,chronostiny,gestureclass,6.516456604003906,4.018068313598633,0.001430511474609375,4.0,4.0
6766,68.37401859127571,site2,site2,chronostiny,gestureclass,6.621122360229492,4.015445709228516,0.001430511474609375,4.0,4.0
6767,68.37814412925172,site2,site2,chronostiny,ecgclass,6.74748420715332,4.003763198852539,0.0026226043701171875,0.0,0.0
6768,68.39020629394119,site2,site2,chronostiny,gestureclass,6.474971771240234,4.005908966064453,0.00286102294921875,4.0,4.0
6769,68.40876210923417,site2,site2,chronostiny,ecgclass,7.635354995727539,4.355907440185547,0.004291534423828125,0.0,0.0
6770,68.41779660401639,site2,site2,chronostiny,ecgclass,7.330179214477539,4.226207733154297,0.0016689300537109375,0.0,0.0
6771,68.43314275979142,site2,site2,chronostiny,gestureclass,6.973743438720703,4.269838333129883,0.0035762786865234375,4.0,4.0
6772,68.44696996579358,site2,site2,chronostiny,gestureclass,8.016109466552734,4.531621932983398,0.0026226043701171875,4.0,4.0
6773,68.45545015092061,site2,site2,chronostiny,ecgclass,6.471395492553711,3.9958953857421875,0.00286102294921875,0.0,0.0
6774,68.45919247872095,site2,site2,chronostiny,ecgclass,6.238222122192383,3.916025161743164,0.0016689300537109375,0.0,0.0
6775,68.47288811605962,site2,site2,chronostiny,ecgclass,6.3076019287109375,3.9343833923339844,0.0016689300537109375,0.0,0.0
6776,68.47520486907318,site2,site2,chronostiny,gestureclass,6.195783615112305,3.9196014404296875,0.0030994415283203125,4.0,4.0
6777,68.49032291642341,site2,site2,chronostiny,ecgclass,6.629228591918945,3.957033157348633,0.00286102294921875,0.0,0.0
6778,68.50664725404911,site2,site2,chronostiny,gestureclass,6.916284561157227,4.137992858886719,0.0030994415283203125,4.0,4.0
6779,68.52391511395193,site2,site2,chronostiny,ecgclass,6.866216659545898,4.071474075317383,0.0035762786865234375,0.0,0.0
6780,68.53031906690485,site2,site2,chronostiny,ecgclass,6.304740905761719,3.92913818359375,0.0016689300537109375,0.0,0.0
6781,68.53245695097651,site2,site2,chronostiny,ecgclass,6.128549575805664,3.8933753967285156,0.0011920928955078125,0.0,0.0
6782,68.5335074854942,site2,site2,chronostiny,gestureclass,6.432056427001953,3.923177719116211,0.0021457672119140625,4.0,4.0
6783,68.54710834376273,site2,site2,chronostiny,ecgclass,6.11567497253418,3.886699676513672,0.0021457672119140625,0.0,0.0
6784,68.56884686686212,site2,site2,chronostiny,gestureclass,8.451461791992188,4.567861557006836,0.004291534423828125,4.0,4.0
6785,68.57936906995019,site2,site2,chronostiny,gestureclass,7.236957550048828,4.264116287231445,0.0019073486328125,4.0,4.0
6786,68.58092578901778,site2,site2,chronostiny,gestureclass,7.0705413818359375,4.0836334228515625,0.0019073486328125,4.0,4.0
6787,68.60824355078772,site2,site2,chronostiny,gestureclass,8.109569549560547,4.569292068481445,0.002384185791015625,4.0,4.0
6788,68.65343532405721,site2,site2,chronostiny,gestureclass,8.337259292602539,4.572868347167969,0.0030994415283203125,4.0,4.0
6789,68.65911596346405,site2,site2,chronostiny,gestureclass,6.843090057373047,4.088640213012695,0.0019073486328125,4.0,4.0
6790,68.6681503326679,site2,site2,chronostiny,gestureclass,6.636142730712891,4.065513610839844,0.0021457672119140625,4.0,4.0
6791,68.68316642053102,site2,site2,chronostiny,ecgclass,7.260560989379883,4.380226135253906,0.004291534423828125,0.0,0.0
6792,68.69649925797468,site2,site2,chronostiny,ecgclass,6.903648376464844,4.175901412963867,0.0019073486328125,0.0,0.0
6793,68.73085316936945,site2,site2,chronostiny,ecgclass,8.154869079589844,4.525661468505859,0.0021457672119140625,0.0,0.0
6794,68.73207352479169,site2,site2,chronostiny,ecgclass,6.810665130615234,3.9992332458496094,0.0019073486328125,0.0,0.0
6795,68.74076580409674,site2,site2,chronostiny,ecgclass,6.3266754150390625,3.9687156677246094,0.001430511474609375,0.0,0.0
