req_id,req_time,site_manager,device,backbone,task,site_manager_send_time,client_infer_submit_time,device_start_time,device_end_time,client_receive_time,client_prep_time(ms),client_submit_to_backend_start(ms),backend_exec_time(ms),backend_to_client_return(ms),end_to_end_latency(ms),proc_time(ms),swap_time(ms),decoder_time(ms)
3063,191.97950398646753,site2,192.168.245.191:8000,dinosmall,nyudepth,1776731337.120142,1776731337.120147,1776731337.1290567,1776731337.1584291,1776731337.1757267,0.0050067901611328125,0.2244710922241211,29.372453689575195,25.98273754119873,55.58466911315918,26.292751,0.0028669999999999998,1.071593
3062,191.94416477334067,site2,192.168.245.194:8000,swinsmall,imgclass10,1776731337.085045,1776731337.0850503,1776731337.0929713,1776731337.1911662,1776731337.192232,0.005245208740234375,-0.30732154846191406,98.19483757019043,9.29403305053711,107.18679428100586,96.534054,0.003214,0.8373579999999999
3065,192.16493091737092,site2,192.168.245.191:8010,dinosmall,vocseg,1776731337.3057308,1776731337.3057363,1776731337.3142292,1776731337.3422666,1776731337.359585,0.0054836273193359375,-0.1308917999267578,28.037309646606445,25.942325592041016,53.85422706604004,25.720969999999998,0.0038500000000000006,1.494396
3064,192.14333710730392,site2,192.168.245.194:8000,swinsmall,imgclass10,1776731337.2838135,1776731337.2838185,1776731337.2916312,1776731337.3532572,1776731337.3652904,0.0050067901611328125,-0.41556358337402344,61.62595748901367,20.261526107788086,81.47692680358887,60.690968,0.001699,0.486866
3066,192.2314426041927,site2,192.168.245.191:8000,dinosmall,nyudepth,1776731337.3728259,1776731337.3728313,1776731337.3813267,1776731337.4083507,1776731337.4254677,0.0054836273193359375,-0.18990039825439453,27.024030685424805,25.802254676818848,52.641868591308594,25.153681000000002,0.00257,1.073596
3068,192.2902400472306,site2,192.168.245.193:8010,momentbase,sysbp,1776731337.4315085,1776731337.4315135,1776731337.4323456,1776731337.4696434,1776731337.471484,0.0050067901611328125,-0.04458427429199219,37.297725677490234,2.717256546020508,39.97540473937988,35.933461,0.0018449999999999999,0.7622990000000001
3067,192.26528756710607,site2,192.168.245.194:8000,swinsmall,imgclass10,1776731337.4057662,1776731337.4057715,1776731337.4152112,1776731337.503747,1776731337.5046809,0.005245208740234375,1.211404800415039,88.53578567504883,9.162187576293945,98.91462326049805,86.90469,0.002893,0.830942
3069,192.43978883593542,site2,192.168.245.194:8010,swinsmall,eurosatclass,1776731337.5802422,1776731337.5802476,1776731337.588348,1776731337.6608071,1776731337.661808,0.0054836273193359375,0.0054836273193359375,72.45922088623047,9.09566879272461,81.56585693359375,71.430994,0.0023539999999999998,0.5225059999999999
3070,192.51541241399624,site2,192.168.245.191:8000,dinosmall,nyudepth,1776731337.656203,1776731337.656208,1776731337.6650798,1776731337.6920855,1776731337.709287,0.0050067901611328125,0.18656253814697266,27.005672454833984,25.8866548538208,53.08389663696289,25.139827,0.00297,1.067644
3071,192.62029202994864,site2,192.168.245.191:8010,dinosmall,vocseg,1776731337.7613513,1776731337.7613568,1776731337.7697084,1776731337.7978506,1776731337.8150964,0.0054836273193359375,-0.2722740173339844,28.142213821411133,25.86960792541504,53.74503135681152,25.811836,0.0038829999999999997,1.4786000000000001
3072,192.68257451216354,site2,192.168.245.194:8010,swinsmall,eurosatclass,1776731337.8231337,1776731337.8231392,1776731337.8309228,1776731337.899784,1776731337.9007516,0.0054836273193359375,-0.31113624572753906,68.86124610900879,9.06229019165039,77.61788368225098,67.84434999999999,0.002188,0.4977579999999999
